mesure,absence,presence,count
m2,1,5,1
m1,1,2,1
m10,4,2,4
m2,1,4,1
m6,4,1,2
m17,4,2,2
m5,1,4,1
m11,4,2,2
m13,5,1,3
m4,3,2,1
m2,3,5,1
m4,4,2,1
m1,5,1,3
m10,4,1,2
m8,5,1,1
m6,3,3,2
m1,1,3,1
m9,5,1,1
m5,3,2,1
m11,3,4,1
m9,4,1,2
m13,5,2,1
m3,4,1,4
m8,3,2,4
m9,3,3,1
m17,5,1,2
m5,4,2,4
m2,5,2,2
m6,4,3,2
m9,1,4,1
m4,4,1,2
m6,1,5,1
m11,3,1,1
m2,4,2,1
m1,4,1,1
m6,5,1,2
m10,4,4,1
m17,3,3,1
m3,4,2,2
m13,1,5,1
m1,5,2,3
m11,4,4,1
m9,4,3,2
m17,4,1,1
m17,3,2,1
m9,3,2,2
m5,1,5,1
m8,4,1,1
m3,5,1,1
m13,4,1,2
m4,3,1,2
m8,4,2,2
m4,5,1,3
m13,4,3,1
m10,5,1,1
m13,3,3,1
m10,1,4,1
m11,5,2,1
m5,3,3,1
m5,3,4,1
m11,3,3,1
m8,3,3,1
m11,5,1,2
